순위,제목,가수
1,롤린 (Rollin'),브레이브걸스
2,라일락,아이유
3,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
4,Celebrity,아이유
5,운전만해 (We Ride),브레이브걸스
6,Timeless,SG 워너비
7,Coin,아이유
8,내 손을 잡아,아이유
9,On The Ground,로제 (ROSÉ)
10,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭
11,Dynamite,방탄소년단
12,라라라,SG 워너비
13,그냥 안아달란 말야,다비치
14,내사람,SG 워너비
15,밝게 빛나는 별이 되어 비춰줄게,송이한
16,밤하늘의 별을(2020),경서
17,잠이 오질 않네요,장범준
18,Blueming,아이유
19,에잇(Prod.&Feat. SUGA of BTS),아이유
20,봄 안녕 봄,아이유
21,취기를 빌려 (취향저격 그녀 X 산들),산들
22,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani)
23,Lovesick Girls,BLACKPINK
24,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
26,어푸 (Ah puh),아이유
27,살다가,SG 워너비
28,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM
29,Flu,아이유
30,아이와 나의 바다,아이유
31,그날에 나는 맘이 편했을까,이예준
32,12:45 (Stripped),Etham
33,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
34,오래된 노래,스탠딩 에그
35,추억은 만남보다 이별에 남아,정동하
36,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
37,멜로디,ASH ISLAND
38,힘든 건 사랑이 아니다,임창정
39,METEOR,창모 (CHANGMO)
40,2002,Anne-Marie
41,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
42,Dolphin,오마이걸 (OH MY GIRL)
43,돌림노래 (Feat. DEAN),아이유
44,사실 나는 (Feat.전건호),경서예지
45,봄날,방탄소년단
46,Life Goes On,방탄소년단
47,어떻게 지내 (Prod. By VAN.C),오반 (OVAN)
48,아로하,조정석
49,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
50,고백 (바른연애 길잡이 X 허각),허각
